trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,7100,0,0,0,0,7100,1800,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,52100,23900,0,0,0,52100,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,52200,24100,0,0,0,52200,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,79300,0,0,0,0,79300,9400,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,80600,0,0,0,0,80600,8100,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,86300,0,0,0,0,86300,2800,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,89100,1700,0,0,0,89100,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,89100,4200,0,0,0,89100,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.85,0,0,0,0,13.85,0,0,0,0,89700,3800,0,0,0,89700,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.83,0,0,0,0,13.83,0,0,0,0,90000,0,0,0,0,90000,3200,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.84,0,0,0,0,13.84,0,0,0,0,89700,2200,0,0,0,89700,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.84,0,0,0,0,13.84,0,0,0,0,90000,2100,0,0,0,90000,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,89800,11400,0,0,0,89800,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.86,0,0,0,0,13.86,0,0,0,0,88800,9300,0,0,0,88800,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.84,0,0,0,0,13.84,0,0,0,0,89100,200,0,0,0,89100,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.85,0,0,0,0,13.85,0,0,0,0,89400,7000,0,0,0,89400,0,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.83,0,0,0,0,13.83,0,0,0,0,90500,0,0,0,0,90500,3400,0,0,0,0,0
2022/11/2,0,13.86,0,0,13.86,0,0,15.25,12.47,13.84,0,0,0,0,13.84,0,0,0,0,90900,3900,0,0,0,90900,0,0,0,0,0,0
